old_url,new_url,status
https://calmapercorso.com/,https://calmapercorso.com/,preserve
https://calmapercorso.com/job-income-history/,https://calmapercorso.com/job-income-history/,preserve
https://calmapercorso.com/job-change-construction/,https://calmapercorso.com/job-change-construction/,preserve
https://calmapercorso.com/tokyo-taxi-driver-quit-reason/,https://calmapercorso.com/tokyo-taxi-driver-quit-reason/,preserve
https://calmapercorso.com/tokyo-taxi-oneday-record/,https://calmapercorso.com/tokyo-taxi-oneday-record/,preserve
https://calmapercorso.com/taxi-eigyo-style/,https://calmapercorso.com/taxi-eigyo-style/,preserve
https://calmapercorso.com/tokyo-taxi-nenshu-real/,https://calmapercorso.com/tokyo-taxi-nenshu-real/,preserve
https://calmapercorso.com/taxi-buai-shikumi/,https://calmapercorso.com/taxi-buai-shikumi/,preserve
https://calmapercorso.com/tokyo-taxi-driver-first-month/,https://calmapercorso.com/tokyo-taxi-driver-first-month/,preserve
https://calmapercorso.com/taxi-driver-debt/,https://calmapercorso.com/taxi-driver-debt/,preserve
https://calmapercorso.com/nagano-iju-hansei/,https://calmapercorso.com/nagano-iju-hansei/,preserve
https://calmapercorso.com/nagano-migration-rent/,https://calmapercorso.com/nagano-migration-rent/,preserve
https://calmapercorso.com/ijyu-shienkin-failed/,https://calmapercorso.com/ijyu-shienkin-failed/,preserve
https://calmapercorso.com/first-job-9years/,https://calmapercorso.com/first-job-9years/,preserve
https://calmapercorso.com/bankruptcy-cancellation/,https://calmapercorso.com/bankruptcy-cancellation/,preserve
https://calmapercorso.com/side-hustle-obsession/,https://calmapercorso.com/side-hustle-obsession/,preserve
https://calmapercorso.com/debt-restructuring-failed/,https://calmapercorso.com/debt-restructuring-failed/,preserve
https://calmapercorso.com/debt-swelling-4m/,https://calmapercorso.com/debt-swelling-4m/,preserve
https://calmapercorso.com/first-debt-100k/,https://calmapercorso.com/first-debt-100k/,preserve
https://calmapercorso.com/first-career-change/,https://calmapercorso.com/first-career-change/,preserve
https://calmapercorso.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,https://calmapercorso.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,preserve
https://calmapercorso.com/privacy-policy-2/,https://calmapercorso.com/privacy-policy-2/,preserve
https://calmapercorso.com/%e3%83%97%e3%83%ad%e3%83%95%e3%82%a3%e3%83%bc%e3%83%ab/,https://calmapercorso.com/%e3%83%97%e3%83%ad%e3%83%95%e3%82%a3%e3%83%bc%e3%83%ab/,preserve
